word,File_Name,URL
Budgeting,Budgeting.mp4,https://drive.google.com/file/d/1NJnYm13dhsQiW4Bhk08QLsgWOg09Dbm5/view?usp=sharing
Base_Year,Base_Year.mp4,https://drive.google.com/file/d/1g1SNrm8_3XdkDz6sWIsug43t7Cn8-MSp/view?usp=sharing
Backend,Backend.mp4,https://drive.google.com/file/d/1bhZ60TfYPUIrf72LeAOH2hUqe3C6qjSE/view?usp=sharing
Appraisal_Period,Appraisal_Period.mp4,https://drive.google.com/file/d/1fvQszcvgGFkZMm6TXjFTgzlNy3QeXlsZ/view?usp=sharing
Apart,Apart.mp4,https://drive.google.com/file/d/1wxe-oOftz8rr3B0k4XVOLe25marfPWoV/view?usp=sharing
Alternate_Formats,Alternate_Formats.mp4,https://drive.google.com/file/d/1epBZdFCTvQjgI-aw23UpErse26-us8rH/view?usp=sharing
Algorithm,Algorithm.mp4,https://drive.google.com/file/d/1a5NtfX5oCgrTji9mSUceoXqHfjQ4bTRf/view?usp=sharing
Adjustable_Workstation_(Sign_2),Adjustable_Workstation_(Sign_2).mp4,https://drive.google.com/file/d/1K0lsZr-GpLTcCZLmNpit8LYBMjA_RQlH/view?usp=sharing
Accessible_Recreation,Accessible_Recreation.mp4,https://drive.google.com/file/d/1rj6skP5vUgAzcB01_15yHDldRrib_buD/view?usp=sharing
Accessibility_Grants_(Sign_2),Accessibility_Grants_(Sign_2).mp4,https://drive.google.com/file/d/1ZzFlUSRVTn4FMDIzn5AjKSt353qJ1ryP/view?usp=sharing
Zoning_Regulations,Zoning_Regulations.mp4,https://drive.google.com/file/d/1rx_bvLljEopr_6xtIGbSOF9AYVQRyrYE/view?usp=sharing
Wheel_Rim,Wheel_Rim.mp4,https://drive.google.com/file/d/1ufGNgNhfrXUHYH2FSqXv_L79Zrwhigjn/view?usp=sharing
Wheel,Wheel.mp4,https://drive.google.com/file/d/1OlzGgqjFpXG1Wd_XzBSJKS3oxygpA2QZ/view?usp=sharing
Weigh_Station,Weigh_Station.mp4,https://drive.google.com/file/d/1vQhK6eOBzudFGBQbRYI6s3Ck0YTO5AJk/view?usp=sharing
